Audio Path,Type of Current
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-132928_Audio/drums_louder_60.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_55.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_60.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_65.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134233_Audio/drums_louder_70.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_55.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_60.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134436_Audio/drums_louder_65.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_55.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-134617_Audio/drums_louder_60.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143324_Audio/drums_louder_55.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_55.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_60.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143636_Audio/drums_louder_65.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-143827_Audio/drums_louder_55.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144335_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144542_Audio/drums_louder_55.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144713_Audio/drums_louder_55.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_0.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_10.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_15.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_20.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_25.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_30.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_35.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_40.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_45.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_5.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_50.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_55.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6010/DC/240902-144916_Audio/drums_louder_60.wav,DC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_0.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_10.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_100.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_105.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_15.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_20.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_25.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_30.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_35.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_40.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_45.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_5.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_50.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_55.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_60.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_65.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_70.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_75.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_80.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_85.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_90.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-120813_Audio/drums_louder_95.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_0.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_10.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_15.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_20.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_25.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_30.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_35.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_40.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_45.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_5.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_50.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_55.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_60.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_65.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_70.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_75.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_80.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_85.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121024_Audio/drums_louder_90.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_0.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_10.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_100.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_105.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_15.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_20.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_25.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_30.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_35.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_40.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_45.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_5.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_50.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_55.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_60.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_65.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_70.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_75.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_80.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_85.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_90.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-121840_Audio/drums_louder_95.wav,AC
prediccion_etiqueta_usg/05s/audio/train/Placa_12mm/E6011/AC/240909-122313_Audio/drums_louder_0.wav,AC
